time,PM1.0,PM2.5,PM10,temperature,gas,relative humility,pressure,altitude
1676678560,1,1,1,22.8942578125,42298,16.60927830581954,1006.6832526604054,54.81667378022108
1676678561,0,0,0,22.8950390625,42512,16.60447975583487,1006.6828065477989,54.82040757880826
1676678562,0,0,0,22.8950390625,42426,16.599642425406312,1006.684527625524,54.806002798076825
1676678563,0,0,0,22.8946484375,42555,16.604460267515872,1006.689053373483,54.76812406531958
1676678564,1,1,1,22.8950390625,42598,16.59480530127255,1006.6914119374246,54.74838386619849
1676678566,1,1,1,22.8950390625,42992,16.580295166640028,1006.6914119374246,54.74838386619849
1676678567,1,1,1,22.895234375,42904,16.580304898102824,1006.6865674452248,54.788930291330935
1676678568,1,1,1,22.895625,43080,16.5706519542012,1006.687204929051,54.78359480251291
1676678569,0,0,0,22.8958203125,43080,16.560990093833375,1006.6840815111753,54.80973660741282
1676678570,0,0,0,22.895625,43303,16.56581606019957,1006.6820416910655,54.82680915172051
1676678572,0,0,0,22.8950390625,43437,16.560951208590467,1006.6810854701745,54.83481237863065
1676678573,0,0,0,22.8946484375,43437,16.54642597892113,1006.680447989704,54.84014786562768
1676678574,0,0,0,22.8942578125,43618,16.556076860074803,1006.6746472834742,54.8886978592552
1676678575,0,0,0,22.8950390625,43482,16.575458867685448,1006.6759222379014,54.87802689273217
1676678576,0,0,0,22.8942578125,43663,16.560912323667804,1006.6798105093325,54.84548335452937
1676678578,0,0,0,22.8946484375,43846,16.575439409910885,1006.6821690662593,54.82574306736052
1676678579,0,0,0,22.8946484375,43846,16.570603322342087,1006.6873322965268,54.78252878717861
1676678580,0,0,0,22.8950390625,43892,16.580295166640028,1006.6879697812739,54.77719329393606
1676678581,1,1,1,22.8946484375,43892,16.575439409910885,1006.6873322965268,54.78252878717861
1676678582,1,1,1,22.8946484375,44030,16.59478582313474,1006.6907744505393,54.75371936256628
1676678584,1,1,1,22.8950390625,44404,16.589968383433582,1006.6862487033487,54.791598036456044
1676678585,1,1,1,22.893671875,44310,16.594737128141144,1006.6805753628438,54.83908179709561
1676678586,0,0,0,22.8934765625,44263,16.599564492973954,1006.6819776956833,54.82734476999384
1676678587,0,0,0,22.8925,44451,16.61886621298846,1006.694152560148,54.72544604103131
1676678588,0,0,0,22.8915234375,44404,16.6188174554686,1006.690837765136,54.75318944597341
1676678590,0,1,1,22.8911328125,44735,16.61879795260121,1006.6936424117048,54.72971575871592
1676678591,0,1,1,22.8909375,44831,16.623626303358616,1006.6847183300717,54.80440667313855
1676678592,0,1,1,22.8911328125,44975,16.62363605730723,1006.6850370730313,54.80173891566018
1676678593,0,1,1,22.8911328125,44879,16.61879795260121,1006.6884792082002,54.7729295955781
1676678594,0,0,0,22.8911328125,45072,16.61879795260121,1006.6902002759349,54.75852496418827
1676678595,0,0,0,22.8911328125,45365,16.60912236207573,1006.6953634797401,54.71531118462849
1676678597,0,0,0,22.89015625,45661,16.59939889081747,1006.6937697491531,54.7286500002163
1676678598,0,0,0,22.8899609375,45267,16.584878594710247,1006.6934510031102,54.73131776476211
1676678599,0,0,0,22.889375,45414,16.580012962934966,1006.6942158284537,54.72491651331523
1676678600,0,0,0,22.888984375,45365,16.57515728118395,1006.6970204603326,54.70144301277902
1676678601,0,1,2,22.888984375,45365,16.579993501231623,1006.695299397877,54.715847520970904
1676678603,0,1,2,22.8883984375,45661,16.575128096415106,1006.6960642179126,54.709446323460035
1676678604,0,1,2,22.8880078125,45861,16.575108640002696,1006.6919846036244,54.74359089396185
1676678605,0,1,2,22.8878125,45911,16.57509891182654,1006.6933869164674,54.731854141929354
1676678606,0,1,2,22.8878125,45761,16.57993511660249,1006.6916658573193,54.74625866453173
1676678607,0,1,2,22.8878125,46164,16.57993511660249,1006.6968290350638,54.703045154031926
1676678609,0,1,2,22.8878125,45962,16.570262913346735,1006.6951079757155,54.7174496384327
1676678610,0,1,2,22.8868359375,46266,16.584722861641872,1006.6952352958915,54.71638402575079
1676678611,0,1,2,22.8864453125,46215,16.58470339536909,1006.6928767447893,54.73612405671002
1676678612,0,1,2,22.88703125,46471,16.58473259480833,1006.6955540436763,54.713716250456166
1676678613,0,1,2,22.8860546875,46113,16.59919433145083,1006.6887971416878,54.77026862111887
1676678615,0,1,2,22.8852734375,46574,16.59915536876486,1006.6892432098056,54.76653521288004
1676678616,0,0,2,22.885859375,46678,16.60402180155526,1006.6884783956303,54.7729363964578
1676678617,0,0,2,22.8868359375,46678,16.604070517989,1006.6900721261652,54.75959752453714
1676678618,0,0,2,22.8848828125,46730,16.60881049000069,1006.6834425637561,54.815084359369024
1676678619,0,0,2,22.8848828125,46887,16.613648100674954,1006.6868846657151,54.78627528028877
1676678621,0,0,2,22.88546875,46992,16.60883972713474,1006.6861198509567,54.792676480890414
1676678622,0,0,2,22.8860546875,46964,16.608868964449403,1006.6887971416878,54.77026862111887
1676678623,0,0,1,22.8868359375,46887,16.60890794781659,1006.6917931826404,54.74519300584253
1676678624,0,0,1,22.8880078125,46964,16.613804074863378,1006.690263544042,54.75799543644757
1676678625,0,0,1,22.888984375,47524,16.60417769590881,1006.6901362111115,54.75906116013658
1676678627,0,0,2,22.8899609375,47336,16.584878594710247,1006.6917299382824,54.74572233415924
1676678628,0,0,2,22.89015625,47470,16.56554379951046,1006.6937697491531,54.7286500002163
1676678629,0,0,2,22.8911328125,47659,16.555921364315463,1006.6953634797401,54.71531118462849
1676678630,0,1,2,22.8915234375,47768,16.526932565478145,1006.6977220413528,54.695571105186396
1676678631,0,1,2,22.8911328125,48042,16.50274532831338,1006.6988056161109,54.68650209376588
1676678633,0,1,2,22.890546875,47987,16.4833857364906,1006.6909651085509,54.75212363513238
1676678634,0,0,2,22.890546875,47987,16.478553621992965,1006.6961283078455,54.70890991991292
1676678635,0,0,1,22.89015625,48124,16.46887066704483,1006.6920486837907,54.74305457039596
1676678636,0,0,1,22.89015625,47959,16.46887066704483,1006.6920486837907,54.74305457039596
1676678637,0,0,0,22.8909375,48097,16.47857297709691,1006.6916025986721,54.74678811250283
1676678638,0,0,0,22.8915234375,48263,16.483434137130352,1006.685674559025,54.79640340213071
1676678640,0,0,0,22.89171875,48152,16.483443817318097,1006.6894354404349,54.76492632131707
1676678641,0,1,1,22.8915234375,48208,16.5027647089971,1006.6873956276285,54.78199873097911
1676678642,0,1,1,22.8915234375,48431,16.507597867702408,1006.685674559025,54.79640340213071
1676678643,0,0,0,22.890546875,48319,16.522050079114408,1006.6944072413138,54.723314472551934
1676678644,0,0,0,22.890546875,48431,16.522050079114408,1006.6961283078455,54.70890991991292
1676678646,0,0,0,22.8899609375,48627,16.522020977868117,1006.7003352634231,54.67369967819147
1676678647,0,0,0,22.889375,48854,16.517158127213506,1006.697657955403,54.69610747471037
1676678648,0,0,0,22.889375,48741,16.50749124692487,1006.6993790190277,54.68170298406406
1676678649,0,0,0,22.888984375,48911,16.51713873169385,1006.695299397877,54.715847520970904
1676678650,0,0,0,22.8883984375,48741,16.512276108000762,1006.6891799751061,54.767064461446836
1676678652,0,1,1,22.8880078125,49141,16.507423398596547,1006.690263544042,54.75799543644757
1676678653,0,1,1,22.888984375,49315,16.502638735979577,1006.6884151490565,54.773465744731666
1676678654,0,1,1,22.889375,49286,16.488159961897797,1006.6890526387813,54.768130214473615
1676678655,0,0,0,22.888984375,49228,16.48330829650346,1006.6935783355217,54.73025204825866
1676678656,0,0,0,22.889375,49460,16.468831977604314,1006.6942158284537,54.72491651331523
1676678658,0,0,0,22.888984375,49548,16.45914988881656,1006.6918572732664,54.744656594647225
1676678659,0,0,0,22.8895703125,49460,16.444686298493206,1006.7014188313942,54.664630742637705
1676678660,1,1,1,22.890546875,49373,16.439904132654608,1006.6978493744772,54.69450538637471
1676678661,1,1,1,22.8909375,49873,16.444753916244018,1006.6864393970718,54.79000200432473
1676678662,0,1,1,22.8895703125,49873,16.43985584709237,1006.6842081933063,54.80867632547883
1676678664,0,1,1,22.8883984375,49843,16.430137651716173,1006.678853613901,54.85349224147816
1676678665,0,1,1,22.88859375,49695,16.44463800069647,1006.6774512956191,54.86522917623067
1676678666,0,1,1,22.8883984375,50051,16.444628341196793,1006.6857378543039,54.79587364504751
1676678667,0,1,1,22.8883984375,50292,16.434967675247016,1006.6840167940529,54.8102782655015
1676678668,0,1,1,22.8880078125,50292,16.43977859122681,1006.6799371886507,54.84442309249348
1676678670,0,1,1,22.8883984375,50201,16.425307834481362,1006.6805746738515,54.83908756371683
1676678671,0,1,1,22.889375,50322,16.415697040204826,1006.6821683872868,54.825748750117356
1676678672,0,1,1,22.8895703125,50171,16.430195563178145,1006.6790450038329,54.85189037281895
1676678673,0,1,1,22.890546875,50201,16.435073874817657,1006.6823597783964,54.82414687587211
1676678674,0,1,1,22.8899609375,50626,16.43987516125761,1006.6814035514186,54.83215015168346
1676678676,0,1,1,22.890546875,50596,16.439904132654608,1006.6858019101579,54.79533752226889
1676678677,0,0,0,22.8899609375,50474,16.449536280540386,1006.6900088735546,54.76012692266209
1676678678,0,0,0,22.8895703125,50718,16.45434782018231,1006.6962556389163,54.70784421691931
1676678679,0,0,0,22.8895703125,50626,16.468841649934568,1006.6910924473397,54.75105786312291
1676678680,0,0,0,22.89015625,50780,16.473702363858923,1006.6972118801783,54.699840917164295
1676678682,0,0,0,22.8895703125,50841,16.478505234581807,1006.6910924473397,54.75105786312291
1676678683,0,0,0,22.89015625,50718,16.473702363858923,1006.6834433584812,54.81507770781124
1676678684,0,0,0,22.89015625,51027,16.488198692075425,1006.6800012290583,54.843887096495756
1676678685,0,0,0,22.8911328125,50903,16.483414776814655,1006.683316005597,54.81614360435734
1676678686,0,0,0,22.8911328125,50780,16.48824710524605,1006.6919213437698,54.744120351899234
1676678688,0,0,0,22.8915234375,50903,16.493099010472825,1006.6925588340399,54.738784832124225
1676678689,0,0,0,22.8909375,51121,16.507568789069033,1006.6881604641717,54.77559735461662
1676678690,0,0,0,22.89171875,51372,16.507607560620112,1006.6859933020586,54.79373564608945
1676678691,0,0,0,22.89171875,51340,16.507607560620112,1006.6894354404349,54.76492632131707
1676678692,0,0,0,22.892109375,51403,16.50279378017232,1006.6866307882009,54.78840013541944
1676678694,0,0,0,22.892109375,51435,16.512460319153824,1006.6900729287153,54.75959080752675
1676678695,0,0,0,22.8926953125,51498,16.502822851527117,1006.6910291613217,54.75158754041683
1676678696,0,0,0,22.8934765625,51530,16.5076947977776,1006.6957462868755,54.712107261853646
1676678697,0,0,0,22.8942578125,51881,16.50290037601784,1006.6987423451912,54.687031641409604
1676678698,0,0,0,22.8934765625,51784,16.493195864168637,1006.6957462868755,54.712107261853646
1676678700,0,0,0,22.893671875,51784,16.478708465056354,1006.6943439575111,54.7238441298887
